Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData,Intelligence,Strength,Speed,Durability,Power,Combat,Total
Spider-Man,Secret,Living,Male,Good,Human,178.0,74.0,Hazel,Brown,,Marvel,1962.0,4043.0,1962-08-01,Peter Parker,88.0,55.0,60.0,74.0,58.0,85.0,420.0
Spider-Man,Secret,Living,Male,Good,Human,178.0,77.0,Hazel,Brown,,Marvel,1962.0,4043.0,1962-08-01,Peter Parker,88.0,55.0,60.0,74.0,58.0,85.0,420.0
Spider-Man,Secret,Living,Male,Good,Human,157.0,56.0,Hazel,Brown,,Marvel,1962.0,4043.0,1962-08-01,Peter Parker,88.0,55.0,60.0,74.0,58.0,85.0,420.0
Captain America,Public,Living,Male,Good,Human,188.0,108.0,Blue,White,,Marvel,1941.0,3360.0,1941-03-01,Steven Rogers,63.0,19.0,35.0,56.0,46.0,100.0,319.0
Captain America,Secret,Living,Male,Bad,Human,188.0,108.0,Blue,Blond,,Marvel,1966.0,1.0,1966-10-01,"Impersonator, Sons of the Serpent",63.0,19.0,35.0,56.0,46.0,100.0,319.0
Captain America,Secret,Living,Male,Bad,Human,188.0,108.0,Blue,Blond,,Marvel,1998.0,1.0,1998-10-01,Taskmaster Robot,63.0,19.0,35.0,56.0,46.0,100.0,319.0
Wolverine,Public,Living,Male,Neutral,Mutant,160.0,135.0,Blue,Black,,Marvel,1974.0,3061.0,1974-10-01,"James ""Logan"" Howlett",55.0,32.0,38.0,100.0,44.0,100.0,369.0
Wolverine,Secret,Living,Male,Bad,Mutant,160.0,135.0,Blue,Black,,Marvel,2012.0,1.0,2012-12-01,Hatchitech,55.0,32.0,38.0,100.0,44.0,100.0,369.0
Iron Man,Public,Living,Male,Good,Human,198.0,191.0,Blue,Black,,Marvel,1963.0,2961.0,1963-03-01,"Anthony ""Tony"" Stark",100.0,85.0,58.0,85.0,100.0,64.0,492.0
Iron Man,Public,Deceased,Agender,Neutral,Human,198.0,191.0,White,Bald,,Marvel,2000.0,4.0,2000-03-01,Sentient Armor,100.0,85.0,58.0,85.0,100.0,64.0,492.0
Iron Man,Secret,Living,Agender,Bad,Human,198.0,191.0,Blue,Black,,Marvel,1998.0,1.0,1998-10-01,Taskmaster Robot,100.0,85.0,58.0,85.0,100.0,64.0,492.0
Thor,No Dual,Living,Male,Good,Asgardian,198.0,288.0,Blue,Blond,,Marvel,1950.0,2258.0,1950-11-01,Thor Odinson,69.0,100.0,92.0,100.0,100.0,85.0,546.0
Thor,Secret,Living,Male,Bad,Asgardian,198.0,288.0,Blue,Blond,,Marvel,1998.0,1.0,1998-10-01,Taskmaster Robot,69.0,100.0,92.0,100.0,100.0,85.0,546.0
Thor,,Living,Male,Bad,Asgardian,198.0,288.0,Blue,Blond,,Marvel,1954.0,,1954-12-01,Jovian,69.0,100.0,92.0,100.0,100.0,85.0,546.0
Thor,,Living,Male,Good,Asgardian,198.0,288.0,Blue,Red,,DC,1956.0,14.0,1956-10-01,,69.0,100.0,92.0,100.0,100.0,85.0,546.0
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1961.0,2255.0,1961-11-01,,,,,,,,
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn,,,,,,,
Benjamin Grimm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow",,,,,,,
Benjamin Grimm,,Living,Male,Bad,,,,,,,Marvel,1992.0,4.0,1992-06-01,Doppelganger,,,,,,,
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn,,,,,,,
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,1973.0,1.0,1973-08-01,Counter-Earth,,,,,,,
Benjamin Grimm,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,,2008-06-01,Skrull,,,,,,,
Reed Richards,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1961.0,2072.0,1961-11-01,,,,,,,,
Reed Richards,,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1972.0,20.0,1972-05-01,Counter-Earth,,,,,,,
Reed Richards,Public,Living,Male,Good,,,,,Brown,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn,,,,,,,
Reed Richards,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow",,,,,,,
Reed Richards,,Living,Male,Bad,,,,,Brown,,Marvel,1992.0,6.0,1992-06-01,Doppelganger,,,,,,,
Reed Richards,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn,,,,,,,
Reed Richards,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,1.0,2008-07-01,Skrull,,,,,,,
Hulk,Public,Living,Male,Good,Human / radiation,244.0,630.0,Brown,Brown,Green,Marvel,1962.0,2017.0,1962-05-01,Robert Bruce Banner,88.0,100.0,47.0,100.0,41.0,85.0,461.0
Hulk,,Living,Male,Bad,Human / radiation,244.0,630.0,Green,Green,Green,Marvel,1979.0,1.0,1979-08-01,Arcade Robot,88.0,100.0,47.0,100.0,41.0,85.0,461.0
Hulk,Secret,Living,Male,Bad,Human / radiation,244.0,630.0,Green,Green,Green,Marvel,1998.0,1.0,1998-10-01,Taskmaster Robot,88.0,100.0,47.0,100.0,41.0,85.0,461.0
Hulk,Public,Living,Male,Good,Human / radiation,244.0,630.0,Green,Blond,Green,Marvel,1990.0,,1990-03-01,Wrestler,88.0,100.0,47.0,100.0,41.0,85.0,461.0
