Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
'Spinner,Secret,Living,Male,Good,,,,,,,Marvel,2007.0,,2007-11-01,
107,Secret,Living,Male,Other,,,,Green,,,Marvel,1994.0,1.0,1994-11-01,
11-Ball,Secret,Living,Male,Bad,,,,,,,Marvel,1991.0,1.0,1991-07-01,
115,Secret,Living,Female,Other,,,,Blue,White,,Marvel,2010.0,1.0,2010-08-01,Legion Personality
14,Secret,Living,Female,Bad,,,,,,,Marvel,1994.0,1.0,1994-11-01,
181,Secret,Living,Other,Other,,,,,,,Marvel,2011.0,1.0,2011-07-01,Legion Personality
1X,Public,Living,Male,Good,,,,,Blond,,Marvel,1940.0,1.0,1940-03-01,
2-D,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,2008.0,3.0,2008-01-01,
2X,Public,Living,Male,Good,,,,,Brown,,Marvel,1940.0,1.0,1940-03-01,
302,Secret,Living,Other,Other,,,,,,,Marvel,2011.0,2.0,2011-08-01,Legion Personality
3X,Public,Living,Male,Good,,,,,Black,,Marvel,1940.0,1.0,1940-03-01,
3g4,,Deceased,Male,Good,,,,,,,DC,1997.0,1.0,1997-10-01,
500-ZQ,,Living,Female,Good,,,,Blue,,,DC,1989.0,10.0,1989-01-01,
6-Ball,Secret,Living,Male,Bad,,,,,,,Marvel,1991.0,,1991-07-01,
6R,,Deceased,Other,Bad,,,,,,,Marvel,1969.0,1.0,1969-07-01,
762,Secret,Living,Male,Other,,,,,Black,,Marvel,2010.0,1.0,2010-08-01,Legion Personality
8-Ball,Secret,Living,Male,Bad,,,,,,,Marvel,,3.0,,Hobgoblin
8-Ball II,Secret,Living,Male,Bad,,,,,,,Marvel,2009.0,1.0,2009-09-01,
88,Public,Living,Male,Bad,,,,Blue,Blond,,Marvel,1994.0,3.0,1994-03-01,
9-Ball,Secret,Living,Male,Bad,,,,,,,Marvel,1991.0,1.0,1991-07-01,
933,Secret,Living,Other,Other,,,,,,,Marvel,2011.0,1.0,2011-08-01,Legion Personality
99,Secret,Living,Male,Other,,,,Blue,,,Marvel,1994.0,1.0,1994-11-01,
A,Secret,Living,Female,Bad,,,,,Blond,,Marvel,2001.0,3.0,2001-02-01,
A Friend,,Living,Male,Other,,,,,,,Marvel,1974.0,11.0,1974-12-01,
A'Hwiirdh-Paan'A,Public,Deceased,Female,Good,,,,Blue,Purple,,DC,1981.0,,1981-06-01,
A'Kurru U'mbaya,Secret,Living,Male,Other,,,,,,,Marvel,1992.0,,1992-12-01,
A'Lars,Secret,Living,Male,Good,,,,Blue,White,,Marvel,1973.0,,1973-02-01,
A'Sai,Secret,Living,Male,Other,,,,Yellow,Bald,,Marvel,1988.0,,1988-01-01,
A'kane,No Dual,Deceased,Female,Other,,,,,Black,,Marvel,1995.0,,1995-12-01,
A'monn A'mokk,Public,Deceased,Male,Bad,,,,Orange,,,DC,2005.0,,2005-08-01,
A'morr,Public,Deceased,Female,Bad,,,,Orange,,,DC,2005.0,,2005-08-01,
A'yin,Secret,Living,Male,Bad,,,,Red,Bald,,Marvel,1997.0,,1997-03-01,
A-Bomb,,,Male,Good,Human,203.0,441.0,Yellow,No hair,,Marvel,,,,
A-Mortal,Secret,Living,Male,Bad,,,,Red,,,DC,1997.0,6.0,1997-01-01,
A. G. Bell,Secret,Living,Male,Good,,,,Black,Black,,Marvel,,3.0,,
A. Summers,No Dual,Deceased,Female,Other,,,,,Black,,Marvel,1987.0,1.0,1987-11-01,
A.C. O'Connor,No Dual,Deceased,Female,Other,,,,,Blond,,Marvel,1980.0,,1980-09-01,
A.J.,,Living,Male,Good,,,,Blue,Blond,,DC,1995.0,8.0,1995-08-01,
A.J. Raffles,,Living,Male,Good,,,,,Blond,,Marvel,1943.0,1.0,1943-03-01,
A3,,Deceased,Other,Bad,,,,,,,Marvel,1969.0,2.0,1969-07-01,
AC-DC,Secret,Living,Male,Other,,,,Red,Bald,,Marvel,1985.0,15.0,1985-07-01,
AR-N-O-Q,Secret,Deceased,Male,Good,,,,,,,DC,1987.0,2.0,1987-01-01,
AWOL,Secret,Living,Male,Bad,,,,,Black,,DC,1997.0,1.0,1997-03-01,
Aa,Secret,Living,Female,Good,,,,,,,DC,1992.0,15.0,1992-02-01,
Aa-Gorn,No Dual,Deceased,Male,Other,,,,,Black,,Marvel,1991.0,1.0,1991-08-01,
Aa-Thak,,Living,Male,Bad,,,,,,,Marvel,1980.0,,1980-08-01,
Aaidan Blomfield,Secret,Living,Male,Bad,,,,,Blond,,Marvel,1996.0,2.0,1996-07-01,
Aalbort,No Dual,Living,Male,Other,,,,White,White,,Marvel,1989.0,1.0,1989-06-01,
Aaliyah Hardin,No Dual,Living,Female,Good,,,,Black,Black,,Marvel,2002.0,4.0,2002-12-01,
Aamir,Secret,Living,Male,Other,,,,,Black,,Marvel,2003.0,1.0,2003-03-01,
Aamshed,Secret,Living,Female,Other,,,,Blue,Blond,,Marvel,2004.0,6.0,2004-12-01,
Aan Taanu,Secret,Living,Male,Other,,,,,,,Marvel,1991.0,3.0,1991-10-01,
Aarden,,Living,Male,Other,,,,,Brown,,DC,1996.0,6.0,1996-02-01,
Aardvark,Secret,Living,Male,Other,,,,,Brown,,Marvel,,1.0,,
Aarkus,Secret,Living,Male,Good,,,,White,Bald,,Marvel,1940.0,72.0,1940-11-01,
Aaron Amberson,No Dual,Living,Male,Other,,,,Brown,Brown,,Marvel,1999.0,1.0,1999-08-01,
Aaron Babcock,Public,Deceased,Male,Bad,,,,,Brown,,DC,1992.0,1.0,1992-03-01,
Aaron Carpenter,No Dual,Living,Male,Good,,,,Brown,Black,,Marvel,,2.0,,
