Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,Gender,Alignment,Publisher
3-D Man,50.0,31.0,43.0,32.0,25.0,52.0,233.0,,,
A-Bomb,38.0,100.0,17.0,80.0,17.0,64.0,316.0,Male,Good,Marvel Comics
Abe Sapien,88.0,14.0,35.0,42.0,35.0,85.0,299.0,Male,Good,Dark Horse Comics
Abin Sur,50.0,90.0,53.0,64.0,84.0,65.0,406.0,Male,Good,DC
Abomination,63.0,80.0,53.0,90.0,55.0,95.0,436.0,Male,Other,Marvel
Abraxas,88.0,100.0,83.0,99.0,100.0,56.0,526.0,Male,Bad,Marvel Comics
Adam Monroe,63.0,10.0,12.0,100.0,71.0,64.0,320.0,Male,Good,NBC - Heroes
Adam Strange,,,,,,,,Male,Good,DC
Agent  13,,,,,,,,,,
Agent Bob,10.0,8.0,13.0,5.0,5.0,20.0,61.0,Male,Good,Marvel Comics
Agent Zero,75.0,28.0,38.0,80.0,72.0,95.0,388.0,Male,Good,Marvel Comics
Air-Walker,50.0,85.0,100.0,85.0,100.0,40.0,460.0,Male,Bad,Marvel
Alan Scott,63.0,80.0,23.0,90.0,98.0,32.0,386.0,Male,Good,DC
Alex Woolsly,,,,,,,,Male,Good,NBC - Heroes
Alfred Pennyworth,63.0,10.0,17.0,10.0,7.0,55.0,162.0,Male,Good,DC
Allan Quatermain,,,,,,,,Male,Good,Wildstorm
Amazo,75.0,100.0,100.0,100.0,100.0,100.0,575.0,Male,Bad,Marvel
Ammo,,,,,,,,Male,Bad,Marvel
Ando Masahashi,,,,,,,,Male,Good,NBC - Heroes
Angel,63.0,13.0,46.0,64.0,17.0,42.0,245.0,Male,Good,Marvel
Angel Salvadore,38.0,10.0,28.0,28.0,46.0,60.0,210.0,Female,Good,Marvel Comics
Angela,,,,,,,,Female,Other,Marvel
Animal Man,56.0,48.0,47.0,85.0,73.0,80.0,389.0,Male,Good,DC Comics
Annihilus,75.0,80.0,47.0,56.0,59.0,64.0,381.0,Male,Other,Marvel
Ant-Man,100.0,10.0,23.0,28.0,32.0,32.0,225.0,Male,Good,Marvel Comics
Ant-Man II,63.0,10.0,23.0,28.0,32.0,28.0,184.0,Male,Good,Marvel Comics
Anti-Monitor,88.0,90.0,38.0,90.0,100.0,90.0,496.0,Male,Bad,DC Comics
Anti-Spawn,,,,,,,,Male,Bad,Image Comics
Anti-Venom,75.0,60.0,65.0,90.0,85.0,84.0,459.0,Agender,Good,Marvel
Apocalypse,100.0,100.0,33.0,100.0,100.0,60.0,493.0,Male,Bad,Marvel
Aquababy,10.0,16.0,12.0,14.0,37.0,14.0,103.0,Male,Good,DC Comics
Aqualad,63.0,44.0,42.0,75.0,76.0,60.0,360.0,Male,Good,DC Comics
Aquaman,63.0,80.0,50.0,80.0,65.0,80.0,418.0,Male,Good,DC
Arachne,,,,,,,,Female,Bad,Marvel
Archangel,63.0,13.0,58.0,64.0,28.0,42.0,268.0,Male,Good,Marvel Comics
Arclight,38.0,63.0,23.0,42.0,52.0,70.0,288.0,Female,Bad,Marvel Comics
Ares,75.0,82.0,35.0,80.0,62.0,101.0,435.0,Male,Other,Marvel
Ariel,50.0,10.0,12.0,14.0,72.0,28.0,186.0,Male,Good,Marvel
Armor,50.0,63.0,12.0,80.0,55.0,54.0,314.0,Female,Good,Marvel Comics
Arsenal,,,,,,,,Male,Bad,Marvel
Astro Boy,,,,,,,,Male,Good,
Atlas,50.0,80.0,23.0,99.0,69.0,42.0,363.0,Male,Other,Marvel
Atom,,,,,,,,Male,Good,DC Comics
Atom Girl,38.0,10.0,23.0,28.0,38.0,42.0,179.0,Female,Good,DC Comics
Atom I,,,,,,,,,,
Atom II,,,,,,,,Male,Good,DC Comics
Atom III,,,,,,,,Male,Good,DC Comics
Atom IV,,,,,,,,Male,Good,DC Comics
Aurora,50.0,15.0,83.0,56.0,69.0,56.0,329.0,Female,Bad,DC
Azazel,50.0,11.0,47.0,95.0,87.0,80.0,370.0,Male,Good,Marvel
Azrael,63.0,18.0,17.0,20.0,35.0,80.0,233.0,Male,Other,DC
Aztar,,,,,,,,Male,Good,DC
Bane,88.0,53.0,23.0,56.0,51.0,95.0,366.0,Male,Bad,DC
Banshee,50.0,10.0,58.0,42.0,60.0,70.0,290.0,Male,Good,Marvel
Bantam,25.0,53.0,23.0,54.0,21.0,56.0,232.0,Male,Good,Marvel Comics
Batgirl I,,,,,,,,,,
Batgirl II,,,,,,,,,,
Batgirl III,,,,,,,,Female,Good,DC Comics
Batgirl IV,69.0,12.0,27.0,56.0,42.0,100.0,306.0,Female,Good,DC Comics
Batgirl V,,,,,,,,Female,Good,DC Comics
Batgirl VI,75.0,10.0,23.0,28.0,22.0,80.0,238.0,Female,Good,DC Comics
Batman,100.0,18.0,27.0,42.0,37.0,100.0,324.0,Male,Good,DC
Batman II,88.0,11.0,33.0,28.0,36.0,100.0,296.0,Male,Good,DC Comics
Battlestar,50.0,53.0,35.0,74.0,48.0,74.0,334.0,Male,Good,Marvel Comics
Beak,,,,,,,,Male,Bad,Marvel
Beast,88.0,48.0,35.0,56.0,35.0,84.0,346.0,Male,Good,DC
Beast Boy,50.0,28.0,50.0,70.0,79.0,40.0,317.0,Male,Good,DC Comics
Beetle,,,,,,,,Male,Bad,Marvel Comics
Ben 10,10.0,7.0,8.0,10.0,90.0,40.0,165.0,Male,Good,DC Comics
Beta Ray Bill,63.0,80.0,35.0,95.0,100.0,84.0,457.0,Male,Good,Marvel
Beyonder,88.0,100.0,23.0,100.0,100.0,56.0,467.0,Male,Other,Marvel
